review_text,stars,needs_reply
"Love this app, but it only lets you keep track of only 5 habits at once, for more you have to buy premium, but other than that, its great!",4,0
"There are stuff to buy with true money like more plants , backround sonds etc. It should have been better if these things were free",4,0
i think I could really like this app. except I upgraded to paid and still have ads and the search function does not search notes. It will be hard to find info saved in notes if you cant search...,2,1
"Hi, please provide accepted, pending, decline tags on rutine notifications of activites and also show day progress for these tags or activites in app. I think it will ""force the mind"" to follow daily schedule.",3,1
"I've been using this app for about a year now, I think. I love keeping myself accountable, and tracking what I'm doing and what I'm not each day. Lately, I've been getting push notifications for every single message that members of my party are sending in chat, none of which mention me. I've switched off push notifications completely but they're still coming through all the time. This is the only thing stopping me from giving 5 stars!",4,0
"I like this app as it is a simple way of tracking your habits. However, there are a couple of things I wish were improved. 1. If I have updated all of my habits for the day, the app should know that and stop the daily reminder to complete them. 2. I wish the analysis was a little better. Have some graphs visually showing progress. Also, how about showing how I am doing on my habits as a whole, not just the individuals? For example, if I have a day where I don't do any of my habits. Thx",4,1
I love this app because it's really useful for planning,5,1
By far the best to do list / task management app. Syncs perfectly with the desktop app as well.,5,0
Instalei de novo e não mudou muito minha ideia. Quero um calendário e não uma ferramenta pra integração com o calendário do Google. tá de sacanagem,1,1
"It's not working properly, always fails to Remind, no more reminder notification, this feature suppose to work for free version, if the promise features in free version doesn't work how can I get confident to buy paid version , request team to fix this issue",1,1
The events are getting auto dismissed after the end time. I don't even see a setting option to remove this behavior.,2,1
"No real objective, I dont see the difference from a simple timer. The app is still good, but you can't really look at your forest and say ""wow"" and get motivated. I think this app doesnt keep its promises :) Also I have no sound so I dont know when the timer goes off which does not do the job (it works for others people tho).",2,1
A great app. I just downloaded it and I already love it. The only issue here is slight ui bugs. November 2017 gets covered up by the tabs at the top and on the day section the date runs into the calender layout. Again great app but those errors make the app look less professional. I would recommend rescaling the fragments so they fit better on the page as well as the toolbar. Definitely am recommending to friends though,4,1
"This app always put the things I haven't done to the next day. I don't like this. It should be stay at there if I didn't finished the work nor help me move to the next day and ask me to do it! If I didn't finished it, I'll continue the work tomorrow. I don't need you to help me move the task to the next day. It's annoying",2,1
"Over priced, under developed app. The free version only allows for tracking five habits and the premium version is about $5 a month. The app lacks the polish off others available for less and feels more like a beta than a final product. In the end, I found a better app that's completely free, has more features, and a cleaner UI. My advice to the developer is to ditch the subscription model (or make it less expensive and annual).",3,1
Hodtf coder jbikhkhkm kvukb,3,0
"The app is crashing everytime I open in my Mi Pad, Android kitkat 4.4.2 device! Even unable to submit bug report as well!",1,1
Great app. Must have.,5,0
I'm really enjoying this app. It's helping me juggle between planning my cross-country move and daily life,5,0
Nice app 👍 for students,4,0
Force closes when trying to create challenge,3,1
I like the ideas of the app. However the biggest inconvience for me is when something happens that disrupts my routines. There doesn't seem to be anyway to change the routine for one day with out changing it for every day in the futurs as well. It is annoying to have to manualy change a routine and then have to change it back the next day. I would like to see an option to edit or rearrage single intances of items in the time line without effecting the base routine or future dates.,3,1
"Too bad dark mode is premium only, I moved to another app immediately, so I can't really judge how good is it, the dark mode is a deal breaker to me when other apps are providing it for free. I usually check my progress at night before bed, my eyes would appreciate a dark UI.",3,0
"Notifications don't work. It's a shame, because I wanted to buy a subscription. [EDIT] Okay, I already know what's going on. The operating system of my smartphone is MIUI. This app's notifications work when the battery saver mode is turned off. At the same time, in the application settings I have the option: ""No restrictions - battery saver doesn't restrict app's activity."" Other applications similar to this one (ToDo, habits) work with this option and at the same time enable battery saving.",1,1
"Decent amount of functions, and I really like the widget for this app, but the free version is too limited to be useful. I would pay money for this app if it was for sale. But I am never going to pay for a subscription to a phone app, especially not a todo list app.",1,1
"Update: After years and tons of my feedback reports on playstore, MS Feedback and Twitter you still haven't solve the main problem this app has: background sync doesn't work... Are you kidding me? The app has an awesome design but without background reminder sync is simply USELESS (I've got a OnePlus 6 but everything except this app work perfectly, background sync for everything too, so the problem is this useless app) Another awesome and clear from bug work Microsoft, well done!",1,1
"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",2,1
"I had opted for premium. But even basic things like I wanted to start fresh, so I said delete all tasks, but it added that as a reminder from what's app.",3,1
"What good is a todo list app without a reminder, why would you make the most important thing a premium feature. Don't download this app it's USELESS!!",1,1
Please please please add the option for duplicating tasks. Im using it for an operational purpose where i have to re do task listing from scratch. Everything else seems fine. I used to use wunderlist. And the duplicate feature is the best feature in it. Please add it soon.,3,0
"Pretty disappointed that the first wall I hit is having to login or register. I get the whole cloud saving thing but at least give me the option and let the risk fall on me for data loss. The app looked promising and I was really impressed with the bit of pixel art I got to see. However, I'm not sure I want to sign up and allow access to my details or habits just yet.",1,1
Achchha app hai magar kabhi kabhi dikkat aati hai.. usse fix karna jaruri hai,4,0
"Cancel means stop the action...not throw away all the notes I just made...sorry but this was suppse to save time not waste ideas and planning...poor comms from app on a normalized UI function. First go and really turned me off, could be lots more awesome, but things like this and not being able to recover the info quickly then...not acceptable when doing business tasks nowadays.",2,1
Most of it's premium.,2,1
"Good BUT... STILL does not handle repeat events such as Daylight Savings Time change (i.e. setting a reminder for the second Sunday of March each year to change clocks that don't adjust automatically). Does not handle ""last day of the month"" reminders well. Also, the list should display an icon by repeating tasks. Backup options are very limited, does not handle integration with e.g. Dropbox. Otherwise it would be perfect for my needs.",3,1
"First, the app changed my task name. Then, the task just disappeared and was not in the app. Bad app.",1,1
App not bad but very limited unless you pay. Downloaded this app after reading in the news about it's WhatsApp integration. That is only available if you pay. Without the paid for aspects this application is like any other generic calender app.,2,1
"Let's be honest here, if you need help with basic habit management, you won't use this regularly enough to help. And if you're organized and have a good routine, you don't need it. A pointless novelty at best.",2,1
I hate that it's connect to google calendar please make this optional or take it out all together,2,1
"App is great for making lists and adding details etc, but reminders simply do not work. I've adjusted the app settings to allow reminders but they never show up. If they worked I would have rated it higher.",2,1
"Have only used the app a little while, not to bad for basic tasks. To bad you can't do lots of tasks unless you buy the premium version. It's an easy app to use",4,0
"The app needs reminders for appointments. I like the stickers, but need more variety.",3,1
tick tock plaece,2,1
It's not well organized. I couldn't organize my schedule nicely. I think it should be more simple and easy. Also reminder didn't work and i don't know why.,2,1
"It worked well initially , but then started crashing each time I opened it. I reintalled it and it was working fine for the first week , but then again crashed . Everytime it crashed, all my progress was lost",2,1
However there are a few bugs. Every so often one of my recurring tasks will appear twice on one day and I have to delete it. The synchronization with drop box isn't good enough to use on two devices. I would be useful if you could choose 'third Sunday of every month' for recurring tasks,4,0
Absolutely amazing app! I just counted & this was the 5th daily checklist type app that I tried. For others looking for an app that schedules your time in a day & organize your daily to do list = This is the app you need. It has everything I was looking for in a daily planner/schedule. I'm keeping this app! Love the tags & notification options! So easy to use! So organized.. I love it!,5,0
"Theres a bug, cant edit the blocks. Thank you.",5,1
"Perfect for daily use. Don't look further, this is your planning app",5,0
Great app. Very stable so far.,4,1
Very good graphics!,4,0
"It was a great app but after today's update I am finding few menu items in some other language, even after setting the default language to english it is not helping. Team please help....",2,1
"Great app for keeping track of all my tasks. I would like the option to repeat reminders only instead of repeating the whole task itself, thanks.",4,0
Unable to tap widget to open app and open calender since update!!!!! Thank you for response. Sorted,4,1
I had a reminder set with a certain sound & it never went off,2,1
"Hello Habitbull team, I need to check all features in premium version so can you give me access to premium version for 2 days so that I can try all features and check if the feature that I need is present or not and then buy premium version.",2,1
"I would give this 5 stars, if not for the misleading in-app ""smartwatch settings"" extension purchase option. I love the app, but I purchased the extension to use it on my galaxy watch and I have been unable to connect it to my watch and use any of the settings for a ""wearable"". If this app can be used on the galaxy smartwatches I would love to know how.",3,1
Too hard to use. No tutorials make it worse,1,1
Everything is under pro version.,2,1
"Excellent for visualizing your day and ""where you are"" in your agenda",5,0
"Love it, it works! I would like to have had it transfer my habits to the new phone but the backup folder didn't work. So I had to do them all over again. overall love it though.",4,1
Nice app. Bug with achievement exp gained. It only adds on to current hero exp without leveling up eg( 144exp/25exp ). Why does skill decay even after doing a task that increases it?,4,1
La pubblicità è diventata insopportabile,1,1
It's good for handling,4,0
"Could be good if basic features like icons weren't locked behind a paid subscription. Update: your calling THEMES an advanced feature because you want to not because it is one.... Sorry but changing the background color to black, which it should be in the first place isn't an advanced feature, it's about one line of code. I'm a software engineer myself and know the difference between the two. Same goes for icons which are essentially to app functionality. Check out Notion for a great example.",1,1
"I wish that once I completed a task, it re-sorts to the bottom of the day, so that the next task shows up on top of the PLANNED list.",3,1
can't edit or change anything,2,1
confusing and definitely didn't motivate me to do tasks. just spent hours trying to figure out how to add personalized tasks.,1,1
"DO NOT PURCHASE! The app works as it's supposed to, with exception for the added purchase features. I bought the app so it could sync up with multiple devices, that feature does not work despite following the FAQ as to why it might not work. I have tried their support ticket system which had an automated response, but they have yet to respond despite me trying multiple times to reach them and ask for assistance or a refund.",1,1
It is very awkward cauz you need to give it a proper plan,1,1
"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",2,1
Not so great. The user interface is not friendly. Making the to do list takes far too long and theres no way (that i found) to make a list that repeats daily. I'll just stick to google keep.,2,1
Notification features should be free.,4,0
"Great 'to do' app, attractive and clear",5,0
"Very user friendly. I'm not very ""techie"" but this is easy.",4,0
"Some features just don't work in the free app! I have tried to set a daily reminder for 9am to put a ticket in my car. Once I click ""Done"", it sets the reminder the next day.... at 1am. I dismissed the 1am reminder once, half asleep as the sound woke me up, it never reminded me again and now I have a parking fine to pay. I have real memory difficulties and need an app that actually works properly! Disappointing, as I find the one off reminders really helpful.",3,1
I needed a simple app that I can schedule my day throughout. This has a VERY simple interface and a very visually appealing aesthetic. I love it so far! What would really fit the bill even better is if I can drag and drop blocks. Sometimes I have to shift priorities and it messes up my schedule and I need to manually go in and change things in every block thereafter.,5,1
I m new to used,4,1
It's actually good but it doesn't have a feature where your task appears on your lockscreen that will remind you everytime you forgot something to do.,3,0
A great way to track goals but quite limited in functionaliry and the Google fit integration doesn't work.,3,0
Help you alot to plan your day,4,1
Keeps me organized with my assignments,5,0
"For the round watch the program does not go further than demo. The check to 
finish demo is out of reach. But I like the idea of the program. Pitty I 
cant use it.",1,1
It is a nice and handy app to manage ur work,4,0
"Since joining their very affordable monthly subscription, I've found TickTick to be an indispensable part in my daily routine, and it's actually helping me be more productive even though I'm a pretty begrudging procrastinator. First off, the widgets. God, I love the widgets! The first thing I see after unlocking my phone is A) a list of all the stuff I need to be doing on that given day; and B) a cute visual checklist of daily habits that I need to also make time for. This was what I found was missing back when I used the ToDoIst app, was a simple means of having both habits and to-dos living in the same shared ecosystem. I suppose there are technically more dedicated habit apps with deeper tracking features, but what's here is perfectly functional, and easily integrates into your regular 'inbox'/'today' lists. The widgets update dynamically, right along with the full-screen app, and also with the PC and web integrations. This was a ""must-have"" feature, because I've tried other productivity apps where there is lag time between inputs on the widget, and seeing them ""refreshed"" into existence several minutes later in the app itself. TickTick makes everything instant, to the point that a TickTick notification 'pings' on my phone at the precise moment it also 'pings' on my laptop. I really can't understate how useful the widget and cross-platform integration is, because for someone like me who procrastinates a lot and forgets what I'm meant to be doing at any random moment, it's so useful to just open up my phone and instantly have my most important tasks/habits slap me in the face, demanding my attention. This also ties in nicely with the way notifications/alerts work. I've got reminders set on all my habits, and when the reminders go off, they actually ""take over"" the entire screen, at which point I can tick them off, or dig into the more extensive options on the back-end. There's a few areas I can see for quality-of-life improvements, though I'm optimistic that their subscription model means we haven't seen the ""final"" iteration of this app for some time yet. A few things that jump out at me over a couple months' usage: -- To mark a habit as ""incomplete"", you can't just double-tap the checkbox for an 'X' mark, you have to open the app, pull up the relevant habit in the dashboard, go into its settings, and the option is buried all the way in the app's back-end menus. It's a minor gripe, but when compounded over weeks or months of use, it's easy to just not bother marking your ""failures"" at all. It makes me wonder if there's other useful features I've missed just because they're not readily accessible on the front end UI + widgets. -- It would be nice if habits displayed in the widget + front-end UI had a visual indicator of how many days that habit has been on ""streak"" for. You can track those metrics, but again it's hidden in the robust-yet-opaque back-end, accessible via sub-menus and abstract graphs, rather than being loudly displayed front-and-centre. I'd probably be more motivated to ""keep the streak going"" with a given habit if I could see at a split-second glance how today's efforts fit into the context of the previous 7 days, or whatever. --Also, you can set habits to only repeat on certain days of the week, or a certain number of times per week, but again its not really visible at a quick glance to know if you're on track or falling behind. By which I mean, when I pull up my habits for Thursdayy, for instance, and I see ""exercise at gym"" in my list of habits for that day, then surely I should get some indication of ""you've been to the gym X times this week so far, and you have Y gym sessions remaining for this week [in order to fulfil your habitual obligations]"". Again, the information is there in the app, but you have to actively seek it out. Maybe the more fastidious time-keepers will see to this without batting an eye, but for forgetful, ADHD-prone types like myself, if it's not right in front of me then it might as well not exist. But all in all, these are minor foibles. Fantastic app. 5/5.",5,0
No white space between tasks. No line between tasks. Checkboxes are in the middle of an item. One big block of text instead of neat list of tasks. Just impossible to see where each task starts.,3,1
No options to repeat a task. Why else would i want a to do list? Might as well use a pen and paper.,1,1
"Now there are ads. I have used this app for years and there were no annoying ads. Now i randomly get a full screen ad with no way to dismiss, after saving a new calendar entry. Bad move. A small ad at the bottom of the screen would be ok, but a full screen ad that has to play all the way through? No thanks. Will find a new app. Very disappointed.",1,1
"Worked until I upgraded to premium. Now I can't change my user name, can't write comments or add discussions. It's not syncing to my phone. Please fixs it's been less than 24hrs since I upgraded.",2,1
"Great concept. But I didn't build up coins quickly enough, and didn't get any gems, meaning I couldn't get anything new for my character. Honestly, a calendar and check-mark system would give me more incentive than this.",2,1
I love that the app interface is so easy to use. The reason I don't give it 5 stars is because you can't export notes. It would be ideal if that could be done.,4,1
"Ad-free, sync with cloud, can manage recurring tasks (interface not suitable for beginners), widget is functional. Premium is very expensive, licence for home-use missing. However the free version misses some very basic features to force you to the premium. Greatest mistake: no way to backup / export my own data unless I pay. Don't be greedy - it is my data, and you lock it away. Missing auto backup in the free version is OK. But no way to export / download it is a no-go.",3,1
"The app's good but after the update I'm having issues like the app's not recording the info after the completion of the timer, it just crashes and starts from the beginning.",2,1
Easy to use but it seems really basic,4,0
Poor support response or lack thereof. You can't fully delete a history so I had to create a new account. Been waiting 12 days for support to transfer my licence over. Have followed up and still no response. Very disappointing. Ref no 507634,1,1
Good deal and good function,5,0
شكرا جزيلا لكم,5,1
It pushes me from my comfort zone to do something important,5,0
Pls make agenda scrolling in the widget possible again. Galaxy S7 +++ CM Launcher +++,4,1
"Just installed this app, it is easy to use and is quite beautiful. I would love to have a vision board feature page that I can put pics and maybe a daily quote feature (spiritual?) before jumping to Premium, please.",4,1
really great concept but .......not much useful and not even that beautifully eye-catching thing,3,0
"Okay But I wish it had options to increase exp and stays for example when you read a book gain x intuition when you run x times you gain x stamina, etc etc and get rewards and level that way. Gives more motivation for doing those things.",3,1
Great app but it never archived old chores so didne let points,3,1
"Great in theory, doesn't play nice with outlook which is s shame as this could be the next must have app",3,0
"The interface is very nice and simple, however, once I got down to using it and setting some tasks(five tasks total), about an hour later I went back to the app to make edits, but instead saw the list of tasks that I have set were deleted. If the app has an issue saving the tasks, it needs to be fixed. I will change the rating once that bug is resolved.",2,1
"It is good, but you should add some predefined themes in the palette and not only allow the user experiment",3,1
"It will ruin your plan, you are going to waste your time customizing it. Downloading this app will increase your screen time and degrade your efficiency.",1,1
I paid for preminum version but they took the money twice out of my account and didnt even activate my version. Kindly do the needfull,1,1
I love it. But too expensive.,3,0
"Great concept, but I can't even create an avatar. This is a constant bug listed in reviews. The company says that your selections should show up after you start actually using the app, but how can they when we can't even actually CHOOSE anything. I guess I'll try one of the competitors apps.",1,1
"SYNC ISSUES??? Here's how to fix it on Samsung Galaxy products (Tablets, phones,etc). You will need both Google calendar app and Samsung Calendar. Check both of these to make sure they are syncing. Google calendar and Samsung calendar will over ride Business calendar. But it appears data is taken from Samsung calendar for BC2 pro. And Samsung calendar takes data from Google calendar.. so make sure all are synced...lol. Ya its a lot of work - sometimes they are functioning fine. But this will help you if they don't cooperate. Don't be upset with the developers of BC2 Pro. .They don't have a say in the matter as these big companies have big ego's and BC2 Pro can't do much about it....EXCEPT THIS - BC2 PRO - IF YOU ARE READING THIS - Please create your own calendar system to sync accross platforms. so we don't have to rely on google calendar and samsung! Lets just stay within the BC2 platform. I will happily ditch google calendar forever if you make this happen. You guys rock! Cheers.",5,0
"I really love this app, it's calm and adorable in a way other focus apps aren't. But the paywall most of the trees have been put behind now just makes me sad. If you care about planting fun trees be prepared to pay.",3,1
That's awesome 🤩💓 easy and fast,5,0
"Good app, with lots of features, IF used as a standalone app. A bit annoying if you need to rely upon the feature which allows syncing with other systems (such as Google account). This has never worked reliably for me. Occasionally, it no longer syncs and I'm disconnected for a week before it starts working. I've asked for help, but the blame was put on my Samsung Android phone. I'm on the second phone with similar issues. Maybe this just doesn't work well with Android phones? :-(",3,1
Very pleased with app. Easy to input appointments ets + good screen layout + more...,5,0
"12 hours, just 12 hours I had this app. Received 6 emails for todoist. Why do you think it is acceptable to bombard me with email? On top of the email issue, to make any real use of this app you have to sign up for the premium service. Wont be coming back. Uninstalled and you been added to my junk email list. Pathetic!",1,1
"It is the best app,I've ever seen.It really has changed my life.I just hope that it could have a default list.",5,1
"Lots of control & customization of tasks & rewards. Could benefit from some additional features, but no app has everything. Been using for 2 weeks & it's helping me accomplish important tasks I usually lack motivation to do.",5,1
Useless and time consuming. Got pro version but no option for refund,2,1
superb 👌 👌👌👌👌,5,0
Waste of time,1,1
Awesome! The last time I used this app was about 3 years ago. Now I use it again and found the updates are amazing.,5,0
It is an awesome app. The perfect app for well structures productivity.,5,0
Please provide undo and redo for all actions,3,1
"Thought this was a great app until I realized it doesn't get rid of the ""checked"" daily tasks to remind you of the new daily tasks... and that is exactly what I was using this for... DAILY tasks I need done. When I check ""remove checked tasks"" it does NOTHING and those checked tasks just stay there. :(",1,1
Wonderful app! Really helps me to work on what's important!,5,0
"I've only just started up, but this app has progressed so much since I last saw it! UI is really tidy and easy to use. It doesn't feel like everything is locked behind a paywall (though I plan to support). Tasks/rewards/etc. are easy to customize, so the game can be tailored to exactly what you need. I have ADHD, so an app that makes every task a fun/novel experience is fantastic. I'm hoping this becomes a well worn tool in my belt. Thanks to the devs for creating such a useful resource ❤",5,0
I like the app but the fact that there are lots of other apps that can do the same thing ... it's imo ridiculous to charge a monthly fee.. they justify it by saying it's a service blabla it's an to do app. More people would actually pay for it if it wouldn't be a subscription model.,2,1
"I have used this tool continuously since 2015 and it's a fun way to get yourself to do tasks that otherwise you might not be motivated to do. I've been a subscriber for almost two years. I would highly recommend Habitica, whether you prefer to do it all on your own, quest with others, take up challenges, or just keep track of your flossing. There's a lot to out and I've never gotten bored in almost five years.",5,0
Hey this app is so very usefull.But the only thing it is lack of a music after the completion of each slots,3,1
"There are some things i feel need to be ironed out e.g. i found feeding the pets/mounts a bit buggy, but overall it has definitely helped me think more about my personal goals and how to approach them",4,1
"I like the design and the flow, I just don't like how some features require premium, but j guess that's how they make their money so i understand.",4,0
Great! But need to add some feature such as privacy with fingerprint or face lock.,4,0
"Can't log in. The password input is shorter on the in-app login than both the reset password field as well as the login form on web, so my correct password is rejected",1,1
I really like the task lists function. It helps me organize the tasks for my work and personal projects separately so it only gets as cluttered as I want it to look at one time lol,5,0
Since you have put advertisements in app i say goodbye.. On top of that an update came up and isn't possible to view description of booked day unless you click on it. Disappointed.,1,1
It is not giving me a reminder as a notification on my notification bar it is also not giving me any notification in the form of sound or vibration,1,1
"The latest update has made my mobile sync completely non-existent. I even uninstalled, cleared junk, restarted my phone, and re-installed, but that actually made it SO much worse -- the app now thinks I'm horribly behind on repeating tasks that I deleted months ago.",2,1
Bad design makes making to do lists a monumental task,1,1
"Tried to log in, put my email and psw and only shows loading, i've waited 5 minutes in this screen and nothing happens.",1,1
"Medium. Would be better if everyone had the feature to create todos from flagged email in outlook. Without that, I don't need outlook on my phone.",2,1
Limits lists to 200 items. That was old. It's better now,4,1
Can't complete events. Must keep dismissing it or delete it.,3,1
"it actually is a good app, but it wont do the one other thing I need it to do, which is notify me of a task I set. one day it does and the others it doesn't. I have reset my phone settings several times because of this, looked it up and still no results",3,1
Very nice setup. Thought enough of it to pay for premium. Couple things - add ability to change watch hand colors (arms match scheduled event making it impossible to see) - add ability to increase watch face inner diameter digital time (difficult to read). Watch = Ticwatch Pro 4g Phone = Moto Z3 w/Pie,4,0
Quite awesome. Love the asthetics too. My work gets actually done these days coz of this.,5,0
"New issue -- widget: updated events in calendar are not reflecting in agenda widget even after hitting ""refresh"". Prior issue was that repeating events weren't showing (2015).",3,1
Its still asking me in an ad on the app to upgrade.  Not cool!,2,1
Really help me to manage my day 👍😊,4,0
Too confusing,2,1
I don't like this,1,1
Used to love the app. They make you give phone access to be in leader boards and buy premium for interesting trees. I understand they are worried about pirated software but they are sacrificing their user base in exchange.,2,1
"I can't be the only one multitasking. Therefore, I don't have time to figure out a basic program. I put in a picture and it was so tiny! I put in my tasks yet some are ""timeless"", some are daily, and there was powerlifting! I'm physically crippled!",3,0
"Incredible, scheduling app, it's like having your own diary secretary. Keep up the good work. Please provide the option to back up in the cloud.",5,1
"So far I like it, however there are so many items on the lists when you first download it that it gave me anxiety. You can only delete them 1 at a time and it wants confirmation before deleting each one. If the developers see this I suggest only a few items on each list to give as an example instead of the 200+ I found on my lists that all repeated. Although the check here for downloading the app gave a lot of XP.",4,1
"This app is a good idea and I like the fact that it is very good to start healthy habits an get organized but yet, I could not do anything even with the little tutorial at the beginning.  THIS APP WAS NO HELP TO ME ALL I RECOMMEND IS THAT THE APP HAS TO BE A BIT MORE SELF-EXPLANATORY I DID NOT KNOW HOW TO DO ANYTHING!!!!!!!!",2,1
rathergood,5,0
Heres the thing. I love this app and the idea behind it. But for some reason its so dang glitchy. Pages wont always change when i scroll. Tasks dont refresh. I often have to completely close the app. Help! Very willing to change this review to 5 stars if we get this figured out.,2,1
"Like it's clarity, variety of colors",4,0
Adverts are very annoying and totally irrelevant for me,4,0
Easy to work out the app,5,0
Nice app to keep focused but the premium it's ok but the app soo good,4,0
Full screen ads? In a calendar app? Are you serious?,1,1
Great app.. One star cut for not being available at iOS because I also have ipad and I want it to be on that too..,4,1
Great! Very helpful. Love that I can create recurring tasks!,5,0
"Not user friendly at all, they definitely need to work on the user experience.",1,1
"I liked the app, it was missing a few things but It was okay. I uninstalled it at one point, until I decided if I wanted to keep it, but I am still getting notified for the reminders. It is incredibly annoying and I can't figure out why... Edit: Thanks for the help, the problem is now that I don't know what account I logged in with.",3,1
Another important feature missing is the ability to tell if I have future tasks scheduled when looking at the calendar. Currently the calander view shows days in a circle. Please colorize the background of that circle if there are tasks scheduled on that day. This is essential in order to know what days i have future tasks scheduled on. On top of the calendar it says to pick a day to see if i have a scheduled task. That is not efficient as i would need to go click each day one by one.,4,1
"Doesn't work. Nothing happens when signing in with Google and when creating a new account, it just shows ""server timeout"".",1,1
So far good. Need to check for add-ons,4,0
"It's a good app, but it would be better if more optiosns were added in the 
repeat section, like being able to choose the repeat to occur every 
second/third/etc day/week/etc",4,1
"I'm loving how I have set it up so I record behaviour that I want to change, stop or improve. And it motivates me to see those ticks at the end of the day. Only thing is when I turn off all notifications they immediately turn themselves back on. Otherwise excellent.",4,1
Great app.,5,0
"I would like to see different colours of trees depending on what their tag is (eg. study, rest, entertainment etc.) so that I know how exactly I spent my time with just one look.",2,1
Lies! No multi-device syncing on premium,1,1
"I get a bit frustrated that it's not very versatile in how lists can be organised and I find I inadvertently delete items too easily. But I haven't tried many of the alternative apps to see if they are any better. I have used it for about 6 years, previously as wunderlist, and it's my most used app.",3,0
I can't add my Gmail account to your calendar. Used to work flawlessly earlier. Now just won't let me add my account and won't automatically sync data from account,1,1
"Okay if you like planning with Google. It's exactly like that, just prettier. I don't see how this can replace a paper planner at all.",2,1
"Even without an RPG element, this app is robust enough to suit any of your habit tracking needs. Its ridiculous how much better this app is compared to other regular paid or unpaid habit trackers.",5,0
"Really really, I'm struggling a little bit with some details, but I'm loving so far.",4,1
Just like Solo Leveling,5,0
"I like this app, I am just unsure whether I can sync one profile on two devices. I dont want to purchase the pro version for both my devices and have to set up my different routines for each app.",4,1
It started to send emails asking me to add go running or make coffee..I wanted a todo list that I could share with my wife..not another wife telling what I should be doing,1,1
"Really enjoy the app, probably wouldnt recommend unless you have someone to do it with. Also, please set up a system of 'weekly' tasks, currently you can only set a daily that you complete once a week but it would be nice to have the flexibility of doing a task any day that week without being penalised.",4,1
"Putting ""reminder/notification"" as a premium feature makes the free version totally useless. Uninstalled.",1,1
